PROBLEM: 1.0, AVG FCT EVAL: 45436.28, AVG CONTRACTION: 0.3655774178183056, PEAK RATE: 1.0
PROBLEM: 2.0, AVG FCT EVAL: 45447.02, AVG CONTRACTION: 0.5837682001032171, PEAK RATE: 0.996
PROBLEM: 3.0, AVG FCT EVAL: 45482.44, AVG CONTRACTION: 0.708680117454167, PEAK RATE: 1.0
PROBLEM: 4.0, AVG FCT EVAL: 43757.78, AVG CONTRACTION: 0.6342936203136261, PEAK RATE: 1.0
PROBLEM: 5.0, AVG FCT EVAL: 43417.72, AVG CONTRACTION: 0.5752904187617923, PEAK RATE: 1.0
PROBLEM: 6.0, AVG FCT EVAL: 192768.36, AVG CONTRACTION: 0.7178106771820035, PEAK RATE: 0.9991111111111111
PROBLEM: 7.0, AVG FCT EVAL: 192075.44, AVG CONTRACTION: 0.6599317395694313, PEAK RATE: 0.745
PROBLEM: 8.0, AVG FCT EVAL: 389035.48, AVG CONTRACTION: 0.7829663802460453, PEAK RATE: 0.9671604938271605
PROBLEM: 9.0, AVG FCT EVAL: 392708.84, AVG CONTRACTION: 0.6943013018403013, PEAK RATE: 0.29314814814814816
PROBLEM: 10.0, AVG FCT EVAL: 194226.48, AVG CONTRACTION: 0.6857446293035302, PEAK RATE: 1.0
PROBLEM: 11.0, AVG FCT EVAL: 190293.88, AVG CONTRACTION: 0.7281621167669913, PEAK RATE: 0.9940000000000001
PROBLEM: 12.0, AVG FCT EVAL: 192253.18, AVG CONTRACTION: 0.7439186787196267, PEAK RATE: 0.9975
PROBLEM: 13.0, AVG FCT EVAL: 191420.44, AVG CONTRACTION: 0.7357751370293457, PEAK RATE: 0.9673333333333334
PROBLEM: 14.0, AVG FCT EVAL: 386970.56, AVG CONTRACTION: 0.7938240044624515, PEAK RATE: 0.7033333333333335
PROBLEM: 15.0, AVG FCT EVAL: 385895.12, AVG CONTRACTION: 0.7959780986560264, PEAK RATE: 0.74
PROBLEM: 16.0, AVG FCT EVAL: 378496.96, AVG CONTRACTION: 0.8105596674364008, PEAK RATE: 0.6666666666666665
PROBLEM: 17.0, AVG FCT EVAL: 369440.32, AVG CONTRACTION: 0.8163951177379988, PEAK RATE: 0.6975
PROBLEM: 18.0, AVG FCT EVAL: 362628.14, AVG CONTRACTION: 0.8453634282753983, PEAK RATE: 0.22999999999999995
PROBLEM: 19.0, AVG FCT EVAL: 366421.7, AVG CONTRACTION: 0.8106398302527487, PEAK RATE: 0.145
PROBLEM: 20.0, AVG FCT EVAL: 326744.4, AVG CONTRACTION: 0.8610926593862177, PEAK RATE: 0.0
